
==========================================================
 Experiment : survey-local-8-N1
 Config     : configs/survey-local-8-N1.yaml
 Method     : actor_critic
 Env        : 8x8, N=1, steps=80
 Train      : 4000 eps x 5 seed(s), lr=0.0003, gamma=0.99
==========================================================

survey-local-8-N1 (5 seeds): 0 / 4000 eps ...
[  0.0%] ep      1/4000 | loss +0.0241 | reward +1.072 |    0.9s elapsed / 3501.
[ 31.5%] ep   1261/4000 | loss -0.0297 | reward +2.674 |    3.7s elapsed /    8.
[ 32.0%] ep   1281/4000 | loss -0.0383 | reward +2.253 |    3.7s elapsed /    7.
[ 32.5%] ep   1301/4000 | loss -0.0222 | reward +2.759 |    3.8s elapsed /    7.
[ 33.0%] ep   1321/4000 | loss -0.0324 | reward +2.674 |    3.8s elapsed /    7.
[ 33.5%] ep   1341/4000 | loss -0.0455 | reward +2.000 |    3.8s elapsed /    7.
[ 34.0%] ep   1361/4000 | loss -0.0301 | reward +2.759 |    3.9s elapsed /    7.
[ 34.5%] ep   1381/4000 | loss -0.0281 | reward +2.674 |    3.9s elapsed /    7.
[ 35.0%] ep   1401/4000 | loss -0.0298 | reward +2.674 |    4.0s elapsed /    7.
[ 35.5%] ep   1421/4000 | loss -0.0263 | reward +2.927 |    4.0s elapsed /    7.
[ 36.0%] ep   1441/4000 | loss -0.0328 | reward +2.506 |    4.1s elapsed /    7.
[ 36.5%] ep   1461/4000 | loss -0.0312 | reward +2.590 |    4.1s elapsed /    7.
[ 37.0%] ep   1481/4000 | loss -0.0343 | reward +2.759 |    4.2s elapsed /    7.
[ 37.5%] ep   1501/4000 | loss -0.0243 | reward +2.843 |    4.2s elapsed /    7.
[ 38.0%] ep   1521/4000 | loss -0.0302 | reward +2.590 |    4.2s elapsed /    6.
[ 38.5%] ep   1541/4000 | loss -0.0292 | reward +2.674 |    4.3s elapsed /    6.
[ 39.0%] ep   1561/4000 | loss -0.0500 | reward +1.831 |    4.3s elapsed /    6.
[ 39.5%] ep   1581/4000 | loss -0.0362 | reward +2.421 |    4.4s elapsed /    6.
[ 40.0%] ep   1601/4000 | loss -0.0189 | reward +2.759 |    4.4s elapsed /    6.
[ 40.5%] ep   1621/4000 | loss -0.0346 | reward +2.674 |    4.5s elapsed /    6.
[ 41.0%] ep   1641/4000 | loss -0.0416 | reward +2.000 |    4.5s elapsed /    6.
[ 41.5%] ep   1661/4000 | loss -0.0308 | reward +2.927 |    4.6s elapsed /    6.
[ 42.0%] ep   1681/4000 | loss -0.0355 | reward +2.506 |    4.6s elapsed /    6.
[ 42.5%] ep   1701/4000 | loss -0.0334 | reward +2.506 |    4.6s elapsed /    6.
[ 43.0%] ep   1721/4000 | loss -0.0325 | reward +2.674 |    4.7s elapsed /    6.
[ 43.5%] ep   1741/4000 | loss -0.0339 | reward +2.674 |    4.7s elapsed /    6.
[ 44.0%] ep   1761/4000 | loss -0.0343 | reward +2.590 |    4.8s elapsed /    6.
[ 44.5%] ep   1781/4000 | loss -0.0352 | reward +2.590 |    4.8s elapsed /    6.
[ 45.0%] ep   1801/4000 | loss -0.0272 | reward +2.674 |    4.9s elapsed /    5.
[ 45.5%] ep   1821/4000 | loss -0.0237 | reward +2.927 |    4.9s elapsed /    5.
[ 46.0%] ep   1841/4000 | loss -0.0314 | reward +2.843 |    4.9s elapsed /    5.
[ 46.5%] ep   1861/4000 | loss -0.0271 | reward +2.759 |    5.0s elapsed /    5.
[ 47.0%] ep   1881/4000 | loss -0.0212 | reward +2.843 |    5.0s elapsed /    5.
[ 47.5%] ep   1901/4000 | loss -0.0334 | reward +2.590 |    5.1s elapsed /    5.
[ 48.0%] ep   1921/4000 | loss -0.0367 | reward +2.506 |    5.1s elapsed /    5.
[ 48.5%] ep   1941/4000 | loss -0.0450 | reward +2.337 |    5.2s elapsed /    5.
[ 49.0%] ep   1961/4000 | loss -0.0374 | reward +2.337 |    5.2s elapsed /    5.
[ 49.5%] ep   1981/4000 | loss -0.0338 | reward +2.590 |    5.3s elapsed /    5.
[ 50.0%] ep   2001/4000 | loss -0.0298 | reward +2.674 |    5.3s elapsed /    5.
[ 50.5%] ep   2021/4000 | loss -0.0327 | reward +2.590 |    5.3s elapsed /    5.
[ 51.0%] ep   2041/4000 | loss -0.0316 | reward +2.759 |    5.4s elapsed /    5.
[ 51.5%] ep   2061/4000 | loss -0.0351 | reward +2.590 |    5.4s elapsed /    5.
[ 52.0%] ep   2081/4000 | loss -0.0379 | reward +2.590 |    5.5s elapsed /    5.
[ 52.5%] ep   2101/4000 | loss -0.0314 | reward +2.759 |    5.5s elapsed /    5.
[ 53.0%] ep   2121/4000 | loss -0.0355 | reward +2.674 |    5.6s elapsed /    4.
[ 53.5%] ep   2141/4000 | loss -0.0280 | reward +2.590 |    5.6s elapsed /    4.
[ 54.0%] ep   2161/4000 | loss -0.0260 | reward +2.759 |    5.7s elapsed /    4.
[ 54.5%] ep   2181/4000 | loss -0.0511 | reward +1.747 |    5.7s elapsed /    4.
[ 55.0%] ep   2201/4000 | loss -0.0300 | reward +2.674 |    5.8s elapsed /    4.
[ 55.5%] ep   2221/4000 | loss -0.0458 | reward +2.168 |    5.8s elapsed /    4.
[ 56.0%] ep   2241/4000 | loss -0.0363 | reward +2.759 |    5.8s elapsed /    4.
[ 56.5%] ep   2261/4000 | loss -0.0349 | reward +2.421 |    5.9s elapsed /    4.
[ 57.0%] ep   2281/4000 | loss -0.0352 | reward +2.590 |    5.9s elapsed /    4.
[ 57.5%] ep   2301/4000 | loss -0.0246 | reward +2.843 |    6.0s elapsed /    4.
[ 58.0%] ep   2321/4000 | loss -0.0271 | reward +2.759 |    6.0s elapsed /    4.
[ 58.5%] ep   2341/4000 | loss -0.0341 | reward +2.590 |    6.1s elapsed /    4.
[ 59.0%] ep   2361/4000 | loss -0.0265 | reward +2.843 |    6.1s elapsed /    4.
[ 59.5%] ep   2381/4000 | loss -0.0375 | reward +2.674 |    6.2s elapsed /    4.
[ 60.0%] ep   2401/4000 | loss -0.0299 | reward +2.674 |    6.2s elapsed /    4.
[ 60.5%] ep   2421/4000 | loss -0.0321 | reward +2.590 |    6.2s elapsed /    4.
[ 61.0%] ep   2441/4000 | loss -0.0360 | reward +2.421 |    6.3s elapsed /    4.
[ 61.5%] ep   2461/4000 | loss -0.0375 | reward +2.421 |    6.3s elapsed /    4.
[ 62.0%] ep   2481/4000 | loss -0.0339 | reward +2.421 |    6.4s elapsed /    3.
[ 62.5%] ep   2501/4000 | loss -0.0349 | reward +2.590 |    6.4s elapsed /    3.
[ 63.0%] ep   2521/4000 | loss -0.0409 | reward +2.337 |    6.5s elapsed /    3.
[ 63.5%] ep   2541/4000 | loss -0.0280 | reward +2.590 |    6.5s elapsed /    3.
[ 64.0%] ep   2561/4000 | loss -0.0239 | reward +2.927 |    6.6s elapsed /    3.
[ 64.5%] ep   2581/4000 | loss -0.0333 | reward +2.506 |    6.6s elapsed /    3.
[ 65.0%] ep   2601/4000 | loss -0.0226 | reward +2.421 |    6.6s elapsed /    3.
[ 65.5%] ep   2621/4000 | loss -0.0310 | reward +2.590 |    6.7s elapsed /    3.
[ 66.0%] ep   2641/4000 | loss -0.0379 | reward +2.759 |    6.7s elapsed /    3.
[ 66.5%] ep   2661/4000 | loss -0.0331 | reward +2.590 |    6.8s elapsed /    3.
[ 67.0%] ep   2681/4000 | loss -0.0408 | reward +2.253 |    6.8s elapsed /    3.
[ 67.5%] ep   2701/4000 | loss -0.0351 | reward +2.590 |    6.9s elapsed /    3.
[ 68.0%] ep   2721/4000 | loss -0.0289 | reward +2.843 |    6.9s elapsed /    3.
[ 68.5%] ep   2741/4000 | loss -0.0468 | reward +1.915 |    6.9s elapsed /    3.
