
===========================================================
 Experiment : survey-local-8-N2
 Config     : configs/survey-local-8-N2.yaml
 Method     : actor_critic
 Env        : 8x8, N=2, steps=80
 Train      : 2000 eps x 5 seed(s), lr=0.0001, gamma=0.99
 Warm-start : experiments/survey-local-8-N1/checkpoint.npz
===========================================================

Warm-starting from: experiments/survey-local-8-N1/checkpoint.npz
Grid-aware warm-start: tiling Dense_0 (1-block source -> 2-block target via tile x2, no grid upsample) — per-block obs_dim unchanged at 23.
Warm-started critic: input 23 -> 46, hidden 128, source_N=1 target_N=2.
survey-local-8-N2 (5 seeds): 0 / 2000 eps ...
[ 30.1%] ep    601/2000 | loss +0.6213 | reward +5.174 |    4.6s elapsed /   10.
[ 30.6%] ep    611/2000 | loss -0.2560 | reward +4.554 |    4.6s elapsed /   10.
[ 31.1%] ep    621/2000 | loss +0.0485 | reward +5.328 |    4.7s elapsed /   10.
[ 31.6%] ep    631/2000 | loss +0.5050 | reward +5.328 |    4.7s elapsed /   10.
[ 32.0%] ep    641/2000 | loss +0.0179 | reward +5.328 |    4.8s elapsed /   10.
[ 32.5%] ep    651/2000 | loss +0.2111 | reward +5.174 |    4.9s elapsed /   10.
[ 33.0%] ep    661/2000 | loss +0.3885 | reward +5.328 |    4.9s elapsed /    9.
[ 33.5%] ep    671/2000 | loss +0.0538 | reward +5.328 |    5.0s elapsed /    9.
[ 34.0%] ep    681/2000 | loss +0.3437 | reward +5.328 |    5.0s elapsed /    9.
[ 34.5%] ep    691/2000 | loss +0.0557 | reward +5.328 |    5.1s elapsed /    9.
[ 35.0%] ep    701/2000 | loss -0.4033 | reward +4.864 |    5.1s elapsed /    9.
[ 35.5%] ep    711/2000 | loss -8.2062 | reward -0.258 |    5.2s elapsed /    9.
[ 36.0%] ep    721/2000 | loss +1.1582 | reward +5.328 |    5.2s elapsed /    9.
[ 36.5%] ep    731/2000 | loss -8.3507 | reward -0.258 |    5.3s elapsed /    9.
[ 37.0%] ep    741/2000 | loss +0.0172 | reward +5.174 |    5.3s elapsed /    9.
[ 37.5%] ep    751/2000 | loss -0.2142 | reward +5.174 |    5.4s elapsed /    9.
[ 38.0%] ep    761/2000 | loss -0.3010 | reward +4.554 |    5.4s elapsed /    8.
[ 38.5%] ep    771/2000 | loss +0.5062 | reward +5.019 |    5.5s elapsed /    8.
[ 39.0%] ep    781/2000 | loss +0.0946 | reward +5.174 |    5.5s elapsed /    8.
[ 39.5%] ep    791/2000 | loss +0.1663 | reward +5.174 |    5.6s elapsed /    8.
[ 40.0%] ep    801/2000 | loss +0.3296 | reward +4.709 |    5.7s elapsed /    8.
[ 40.5%] ep    811/2000 | loss +0.3896 | reward +5.174 |    5.7s elapsed /    8.
[ 41.0%] ep    821/2000 | loss +0.0433 | reward +5.174 |    5.8s elapsed /    8.
[ 41.5%] ep    831/2000 | loss +0.1101 | reward +5.019 |    5.8s elapsed /    8.
[ 42.0%] ep    841/2000 | loss +0.0354 | reward +5.328 |    5.9s elapsed /    8.
[ 42.5%] ep    851/2000 | loss -0.0247 | reward +5.174 |    5.9s elapsed /    8.
[ 43.0%] ep    861/2000 | loss -0.5357 | reward +4.709 |    6.0s elapsed /    7.
[ 43.5%] ep    871/2000 | loss -0.0832 | reward +4.709 |    6.0s elapsed /    7.
[ 44.0%] ep    881/2000 | loss +0.1046 | reward +5.328 |    6.1s elapsed /    7.
[ 44.5%] ep    891/2000 | loss -0.1398 | reward +5.174 |    6.1s elapsed /    7.
[ 45.0%] ep    901/2000 | loss +0.4952 | reward +5.174 |    6.2s elapsed /    7.
[ 45.5%] ep    911/2000 | loss -0.0509 | reward +5.174 |    6.2s elapsed /    7.
[ 46.0%] ep    921/2000 | loss +0.3005 | reward +5.328 |    6.3s elapsed /    7.
[ 46.5%] ep    931/2000 | loss +0.0699 | reward +5.174 |    6.3s elapsed /    7.
[ 47.0%] ep    941/2000 | loss -0.0930 | reward +5.174 |    6.4s elapsed /    7.
[ 47.5%] ep    951/2000 | loss -0.0298 | reward +5.174 |    6.5s elapsed /    7.
[ 48.0%] ep    961/2000 | loss +0.3746 | reward +5.328 |    6.5s elapsed /    7.
[ 48.5%] ep    971/2000 | loss +0.2039 | reward +5.328 |    6.6s elapsed /    7.
[ 49.0%] ep    981/2000 | loss -0.0086 | reward +5.174 |    6.6s elapsed /    6.
[ 49.5%] ep    991/2000 | loss +0.2066 | reward +5.328 |    6.7s elapsed /    6.
[ 50.0%] ep   1001/2000 | loss -0.0078 | reward +5.019 |    6.7s elapsed /    6.
[ 50.5%] ep   1011/2000 | loss +0.3811 | reward +5.328 |    6.8s elapsed /    6.
[ 51.0%] ep   1021/2000 | loss +0.3397 | reward +5.328 |    6.8s elapsed /    6.
[ 51.5%] ep   1031/2000 | loss +0.1656 | reward +5.174 |    6.9s elapsed /    6.
[ 52.0%] ep   1041/2000 | loss +0.0179 | reward +5.328 |    6.9s elapsed /    6.
[ 52.5%] ep   1051/2000 | loss +0.2239 | reward +5.328 |    7.0s elapsed /    6.
[ 53.0%] ep   1061/2000 | loss -0.0116 | reward +5.174 |    7.0s elapsed /    6.
[ 53.5%] ep   1071/2000 | loss -0.0619 | reward +5.328 |    7.1s elapsed /    6.
[ 54.0%] ep   1081/2000 | loss +0.4004 | reward +5.328 |    7.2s elapsed /    6.
[ 54.5%] ep   1091/2000 | loss +0.2614 | reward +5.019 |    7.2s elapsed /    6.
[ 55.0%] ep   1101/2000 | loss +0.0485 | reward +5.174 |    7.3s elapsed /    5.
[ 55.5%] ep   1111/2000 | loss -0.1123 | reward +5.174 |    7.3s elapsed /    5.
[ 56.0%] ep   1121/2000 | loss +0.5420 | reward +5.328 |    7.4s elapsed /    5.
[ 56.5%] ep   1131/2000 | loss -0.1746 | reward +4.709 |    7.4s elapsed /    5.
[ 57.0%] ep   1141/2000 | loss +0.1396 | reward +5.328 |    7.5s elapsed /    5.
[ 57.5%] ep   1151/2000 | loss -0.1676 | reward +5.174 |    7.5s elapsed /    5.
[ 58.0%] ep   1161/2000 | loss -0.2544 | reward +4.860 |    7.6s elapsed /    5.
[ 58.5%] ep   1171/2000 | loss +0.1079 | reward +5.328 |    7.6s elapsed /    5.
[ 59.0%] ep   1181/2000 | loss +0.0654 | reward +5.174 |    7.7s elapsed /    5.
[ 59.5%] ep   1191/2000 | loss +0.1684 | reward +4.864 |    7.7s elapsed /    5.
[ 60.0%] ep   1201/2000 | loss -0.0736 | reward +5.174 |    7.8s elapsed /    5.
[ 60.5%] ep   1211/2000 | loss +0.2969 | reward +5.328 |    7.9s elapsed /    5.
[ 61.0%] ep   1221/2000 | loss +0.0055 | reward +5.328 |    7.9s elapsed /    5.
[ 61.5%] ep   1231/2000 | loss +0.4593 | reward +5.019 |    8.0s elapsed /    5.
[ 62.0%] ep   1241/2000 | loss +0.1054 | reward +5.174 |    8.0s elapsed /    4.
[ 62.5%] ep   1251/2000 | loss -0.0779 | reward +5.328 |    8.1s elapsed /    4.
[ 63.0%] ep   1261/2000 | loss +0.0415 | reward +5.174 |    8.1s elapsed /    4.
[ 63.5%] ep   1271/2000 | loss +0.0337 | reward +5.328 |    8.2s elapsed /    4.
[ 64.0%] ep   1281/2000 | loss +0.3141 | reward +5.328 |    8.2s elapsed /    4.
[ 64.5%] ep   1291/2000 | loss +0.1545 | reward +5.328 |    8.3s elapsed /    4.
[ 65.0%] ep   1301/2000 | loss -0.3082 | reward +5.019 |    8.3s elapsed /    4.
[ 65.5%] ep   1311/2000 | loss -0.2471 | reward +4.554 |    8.4s elapsed /    4.
[ 66.0%] ep   1321/2000 | loss +0.0521 | reward +5.174 |    8.4s elapsed /    4.
[ 66.5%] ep   1331/2000 | loss -0.1078 | reward +5.174 |    8.5s elapsed /    4.
[ 67.0%] ep   1341/2000 | loss +0.1570 | reward +5.174 |    8.6s elapsed /    4.
[ 67.5%] ep   1351/2000 | loss -0.0764 | reward +5.328 |    8.6s elapsed /    4.
[ 68.0%] ep   1361/2000 | loss +0.4661 | reward +5.328 |    8.7s elapsed /    4.
[ 68.5%] ep   1371/2000 | loss +0.2927 | reward +5.328 |    8.7s elapsed /    4.
[ 69.0%] ep   1381/2000 | loss +0.2231 | reward +5.328 |    8.8s elapsed /    3.
[ 69.5%] ep   1391/2000 | loss +0.1154 | reward +5.019 |    8.8s elapsed /    3.
[ 70.0%] ep   1401/2000 | loss +0.0444 | reward +5.015 |    8.9s elapsed /    3.
[ 70.5%] ep   1411/2000 | loss +0.0812 | reward +5.174 |    8.9s elapsed /    3.
[ 71.0%] ep   1421/2000 | loss +0.2685 | reward +5.328 |    9.0s elapsed /    3.
[ 71.5%] ep   1431/2000 | loss -0.9329 | reward +4.399 |    9.0s elapsed /    3.
[ 72.0%] ep   1441/2000 | loss -0.0423 | reward +5.019 |    9.1s elapsed /    3.
[ 72.5%] ep   1451/2000 | loss -0.0597 | reward +5.019 |    9.1s elapsed /    3.
[ 73.0%] ep   1461/2000 | loss +0.2805 | reward +5.019 |    9.2s elapsed /    3.
[ 73.5%] ep   1471/2000 | loss +0.0789 | reward +5.174 |    9.2s elapsed /    3.
